Байкальская нерпа               
Серебристая чайка               
лиственница сибирская           
Чабрец (Тимьян)                 
Байкальский омуль               
сибирская пихта                 
даурский еж                     
Синюха мохнатая                 
кедр сибирский                  
копеечник зундукский            
астрагал ольхонский             
Ольхонская полевка              
лапчатка ольхонская             
Остролодочник Пешковой          
Фиалка надрезанная              
мак попова                      
черепоплодник щетинистоватый    
Житняк байкальский              
Примула перистая                
Хохлатка недотрога              
Змееголовник Перистый           
Остролодочник мелколистный      
Астрагал хоринский              
Флокс сибирский                 
овсяница ленская                
Лапчатка пижмолистная           
Хамеродос Алтайский             
Скабиоза Венечная               
Багульник                       
тимьян                          
Родиола розовая                 
иван чай                        
эдельвейс                       
остролодочник                   
Фиалка одноцветковая            
Чернокорень лекарственный       
Лук ветвистый                   
Минуарция прямая                
Осока Редовского                
Астра татарская                 
Ясколка желтоватая              
Бескильница тонкоцветковая      
Плаун булавовидный              
Остролодочник остролистновидный 
Ель сибирская                   
Берёза повислая                 
Берёза пушистая                 
Осина                           
Брусника                        
Голубика                        
Багульник болотный              
Княженика                       
Земляника лесная                
Шиповник иглистый               
Рябина обыкновенная             
Черёмуха обыкновенная           
Карагана древовидная            
Полынь обыкновенная             
Пижма обыкновенная              
Тысячелистник обыкновенный      
Василисник вонючий              
Ветреница лесная                
Прострел раскрытый              
Ирис русский                    
Лук победный (Черемша)          
Копеечник альпийский            
Остролодочник шишковидный       
Камнеломка остистая             
Дриада острозубчатая            
Осока шаровидная                
Вейник Лангсдорфа               
Ковыль байкальский              
Мятлик сибирский                
Ива козья                       
Ива черниковидная               
Можжевельник сибирский          
Водяника чёрная                 
Линнея северная                 
Грушанка круглолистная          
Зимолюбка зонтичная             
Гудайера ползучая               
Венерин башмачок крупноцветковый
Пальчатокоренник мясо-красный   
Иван-чай узколистный            
Герань ложносибирская           
Мытник мутовчатый               
Вероника длиннолистная          
Подмаренник настоящий           
Пепельник цельнолистный         
Полынь шелковистая              
Эдельвейс эдельвейсовидный      
Соссюрея байкальская            
Колокольчик круглолистный       
Бубенчик узкоцветковый          
Водосбор железистый             
Живокость крупноцветковая       
Пион уклоняющийся               
Купальница азиатская            
Красивоцвет саянский            
Эвтрема сердцелистная           
Крупка сибирская                
Смолёвка злаколистная           
Гвоздика разноцветная           
Проломник молочноцветковый      
Первоцвет мучнистый             
Кортуза Маттиоли                
Арктоус красноплодный           
Клюква мелкоплодная             
Сабельник болотный              
Спирея средняя                  
Кизильник черноплодный          
Смородина чёрная                
Смородина душистая              
Жимолость голубая               
Калина обыкновенная             
Частуха подорожниковая          
Ежеголовник узколистный         
Рдест пронзённолистный          
Кубышка малая                   
Кувшинка белоснежная            
Пушица многоколосковая          
Ситник нитевидный               
Ожика сибирская                 
Горец живородящий               
Щавель кислый                   
Молочай разноцветный            
Герань волосистоцветковая       
Остролодочник трёхлистный       
Копеечник копеечниковый         
Астрагал разноцветный           
Остролодочник прицветниковый    
Змееголовник Рюйша              
Тимьян ползучий                 
Мытник перевёрнутый             
Вероника седая                  
Подмаренник северный            
Золотарник даурский             
Крестовник дубравный            
Скерда сибирская                
Бубенчик трёхконечный           
Колокольчик скученный           
Володушка многожилковая         
Толстореберник альпийский       
Бузульник сибирский             
Соссюрея спорная                
Одуванчик беловатый             
Ястребинка зонтичная            
Ллойдия поздняя                 
Гусиный лук малолепестковый     
Лук торчащий                    
Вороний глаз четырёхлистный     
Ладьян трёхнадрезанный          
Тайник овальный                 
Любка двулистная                
Пололепестник зелёный           
Мякотница однолистная           
Дремлик чемерицевидный          
Гнездоцветка клобучковая        
Калипсо луковичная              
Берёза карликовая               
Ива сетчатая                    
Щитовник пахучий                
Кочедыжник женский              
Страусник обыкновенный          
Хвощ луговой                    
Плаун годичный                  
Баранец обыкновенный            
Птилиум гребенчатый             
Плевроциум Шребера              
Дикранум многоножковый          
Политрихум обыкновенный         
Сфагнум узколистный             
Цетрария исландская             
Кладония оленья                 
Пельтигера пупырчатая           
Умбиликария гиперборейская      
Флавокетрария клобучковая       
Стереокаулон пасхальный         
Нефрома арктическая             
Лобария лёгочная                
Гипогимния вздутая              
Пармелия бороздчатая            
Уснея жестковолосатая           
Бриория буроватая               
Алектория желтоватая            
Сагандайля(рододендрон Адамса)  
Черепоплодник почтишерстистый   
Дифазиаструм альпийский         
Дифазиаструм уплощенный         
Плаун деряба, плаун годичный    
Плаун можжевельниковый          
Плаун куропаточий               
Селагинелла северная            
Селагинелла наскальная          
Селагинелла кровавокрасная      
Селагинелла плауновидная        
Хвощ полевой                    
Хвощ речной                     
Хвощ зимующий                   
Хвощ болотный                            
Хвощ камышковый                          
Хвощ лесной                              
Хвощ пестрый                             
Гроздовник северный                      
Гроздовник ланцетовидный                 
Гроздовник полулунный                    
Гроздовник многораздельный               
Гроздовник сильный                       
Гроздовник виргинский                    
Кочедыжник расставленнолистный           
Пузырник ломкий                          
Диплазиум сибирский                      
Голокучник трехраздельный                
Голокучник Йезо                          
Пузырник горный                          
Пузырник судетский                       
Фегоптерис связывающий                   
Костенец постенный                       
Костенец пекинский                       
Костец рута постенная                    
Костенец зеленый                         
Кривокучник сибирский                    
Краекучник серебристый                   
Криптограмма Радде                       
Криптограмма Стеллера                    
Орляк обыкновенный                       
Многоножка сибирская                     
Щитовник шартрский                       
Щитвник захватывающий                    
Вудзия гладкая                           
Вудзия эльбская                          
Лиственница Чекановского                 
Кедровый стланик                         
Сосна сибирская, кедр сибирский          
Сосна обыкновенная                       
Можжевельник обыкновенный                
Можжевельник даурский                    
Можжевельник ложноказацкий               
Эфедра даурская, хвойник даурский        
Эфедра односемянная, х. односемянный     
Рдест Берхтольда                         
Рдест сплюснутый                         
Рдест курчавый                           
Рдест злаковый                           
Рдест нитевидный                         
Рдест Фриза                              
Рдест блестящий                          
Рдест Маака                              
Рдест плавающий                          
Рдест гребенчатый                        
Рдест пронзеннолистный                   
Рдест длиннейший                         
Рдест маленький                          
Рдест Южно-сибирский                     
Рдест тонколистный                       
Рдест влагалищный                        
Ежеголовник всплывающий                  
Ежеголовник прямой                       
Ежеголовник скученный                    
Ежеголовник Ротерта                      
Дзанникеллия болотная                    
Каулиния гибкая                          
Триостренник приморский                  
Триостренник болотный                    
Шейхцерия болотная                       
Стрелолист плавающий                     
Сусак зонтичный                          
Элодея канадская                         
Чий смешиваемый                          
Чий сибирский                            
Чий блестящий                            
Житняк гребенчатый                       
Житняк двурядный                         
Житняк Михно                             
Житняк гребневидный                      
Полевица булавовидная                    
Полевица широкометельчатая               
Полевица гигантская                      
Полевица монгольская                     
Полевица сибирская                       
Полевица побегобразущая                  
Полевица тонкая                          
Полевица Триниуса                        
Лисохвост равный                         
Лисохвост тростниковый                   
Лисохвост короткоколосый                 
Лисохвост сизый                          
Лисохвост луговой                        
Лисохвост Турчанинова                    
Пахучеколосник душистый, душистый колосок
Арктополевица, арктагростис широколистная
Арктомятлик, мятлик широкометельчатый    
Бекманния восточная                      
Коротконожка перистая                    
Кострец южносибирский                    
Кострец безостый                         
Кострец Караваева                        
Кострец Короткого                        
Кострец Пампэлла                         
Костер ржаной                            
Вейник тростниковый                      
Вейник наземный                          
Вейник Короткого                         
Вейник лапландский                       
Вейник тонкостебельный                   
Вейник незамечаемый                      
Вейник притупленный                      
Вейник Павлова                           
Вейник ложнотростниковый                 
Вейник пурпуровый                        
Вейник Турчанинова                       
Цинна широколистная                      
Змеевка Китагавы                         
Змеевка растопыренная                    
Ежа сборная                              
Щучка дернистая                          
Щучка Сукачева                           
Щучка Турчанинова                        
Ежовник обыкновенный, куриное просо      
Пырейник собачий                         
Пырейник смешиваемый                     
Пырейник даурский                        
Пырейник высокий                         
Пырейник Гмелина                         
Пырейник волокнистый                     
Пырейник изменчивый                      
Пырейник сибирский                       
Пырейник новоанглийский                  
Пырейник забайкальский                   
Пырей ползучий                           
Овсяница байкальская                     
Овсяница дальневосточная                 
Овсяница Комарова                        
Овсяница Крылова                         
Овсяница курчумская                      
Овсяница ленская, типчак ленский         
Овсяница ольхонская                      
Овсяница овечья, типчак овечий           
Овсяница луговая                         
Овсяница ложнобороздчатая                
Овсяница красная                         
Овсяница сибирская                       
Овсяница валлисская                      
Манник литовский                         
Манник длинноколосковый                  
Манник трехцветковый                     
Овсец алтайский                          
Овсец пушистый                           
Овсец Шелля                              
Зубровка альпийская                      
Зубровка голая                           
Зубровка охотская                        
Зубровка душистая                        
Зубровка сибирская                       
Ячмень короткоостистый                   
Ячмень Рожевица                          
Тонконог алтайский                       
Тонконог гребенчатый                     
Тонконог жестковолосистоцветковый        
Леймус, колосняк бурятский               
Леймус китайс­кий, вострец китайский     
Леймус пушистоколосый                    
Леймус прибрежный                        
Леймус ветвистый                         
Леймус ржаной                            
Перловник поникающий                     
Перловник Турчанинова                    
Бор развесистый                          
Белоус торчащмй                          
Ленок                                    
Просо посевное                           
Двукисточник тростниковый                
Тимофеевка степная                       
Тимофеевка луговая                       
Мятлик узколистный                       
Мятлик оттянутый                         
Мятлик кистевидный                       
Мятлик иркутский                         
Мятлик Крылова                           
Мятлик боровой                           
Мятлик болотный                          
Мятлик луговой                           
Мятлик ложноболотный                     
Мятлик Скворцова                         
Мятлик Смирнова                          
Мятлик забайкальский                     
Ковылечек монгольский                    
Бескильница Гаупта                       
Бескильница монгольская                  
Бескильница тончайшая                    
Схизахна мозолистая                      
Тростянка овсяницевая                    
Щетинник зеленый                         
Серобородник сибирский                   
Ковыль волосатик                         
Ковыль галечный                          
Ковыль Крылова                           
Ковыль перистый                          
Трищетинник сибирский                    
Пухонос приземестый                      
Поточник рыжий                           
Клубнекамыш плоскостебельный             
Осока острая                             
Осока белая                              
Осока алтайская                          
Осока амгунская                          
Осока придатконосая                      
Осока аргунская                          
Осока Арнелля                            
Осока шероховатая                        
Осока темнейшая                          
Осока остистая                           
Осока буреющая                           
Осока Буксбаума                          
Осока сероватая                          
Осока волосовидная                       
Осока головчатая                         
Осока гвоздичная                         
Осока дернистая                          
Осока клопоносная                        
Осока курайская                          
Осока даурская                           
Осока изящная                            
Осока двухтычинковая                     
Осока двуокрашенная                      
Осока светлая                            
Осока двудомная                          
Осока двусемянная.                       
Осока двурядная                          
Осока камнелюбивая                       
Осока твердоватая                        
Осока безжилковая                        
Осока мечелистная                        
Осока еравнинская                        
Осока пустошная                          
Осока ледниковая                         
Осока серповидная                        
Осока Хэнкока                            
Осока болотородная                       
Осока разночешуйная                      
Осока Ильина                             
Осока ситничек                           
Осока Коржинского                        
Осока ланцетная                          
Осока волосистоплодная                   
Осока заячья                             
Осока топяная                            
Осока плевельная                         
Осока большехвостая                      
Осока магеланская                        
Осока морская                            
Осока средняя                            
Осока черноцветковая                     
Осока Мейера                             
Осока мелкоостренник                     
Осока низкая                             
Осока черная                             
Осока притупленная                       
Осока овальная                           
Осока бледная                            
Осока просяная                           
Осока малоцветковая                      
Осока стоповидная                        
Осока ранняя                             
Осока ложнокурайская                     
Осока ползучая                           
Осока вздутоносая                        
Осока кругловатая                        
Осока наскальная                         
Осока песчаная                           
Осока сабинская                          
Осока саянская                           
Осока Шмидта                             
Осока ржаная                             
Осока Седакова                           
Осока тонкоцветковая                     
Осока войлочная                          
Осока толстоколосковая                   
Осока пузыреватая                        
Болотница игольчатая.                    
Болотница болотная                       
Болотница пятицветковая                  
Болотница сараптская                     
Болотница одноцветковая                  
Пушица короткопыльниковая                
Пушица стройная                          
Пушица низкая                            
Пушица Комарова                          
Пушица рыжеватая                         
Кобрезия нителистная                     
Кобрезия мышехвостниковая                
Камыш Ипполита                           
Камыш Максимовича                        
Камыш восточный                          
Камыш укореняющийся                      
Камыш лесной                             
Aир тростниковый                         
Белокрыльник болотный                    
Ряска маленькая                          
Ряска тройчатая                          
Коммелина обыкновенная                   
Ситник альпийскочленистый                
Ситник лягушачий                         
Ситник темно-бурый                       
Ситник двухчешуйчатый                    
Ситник жабий                             
Ситник сплюснутый                        
Ситник Жерара                            
Ситник белообертковый                    
Ситник солончаковый                      
Ситник трехглавый                        
Ситник трехчешуйный                      
Ситник Введенского                       
Ожика спутанная                          
Ожика бледноватая                        
Ожика мелкоцветковая                     
Ожика волосистая                         
Ожика рыжеватая                          
Ожика уналашкийская                      
Лук алтайский                            
Лук неравноногий                         
Лук двузубчатый                          
Лук бурятский                            
Лук черемша                              
Лук скорода                              
Лук стареющий                            
Лук блестящий                            
Лук Стеллера                             
Лук тончайший                            
Спаржа бурятская                         
Рябчик дагана                            
Гусинолук зернистый                      
Гусинолук малоцветковый                  
Лилия пенсильванская                     
Лилия саранка                            
Лилия карликовая                         
Тюльпан одноцветковый                    
Майник двулистный                        
Купена душистая                          
Смилацина трехлистная                    
Тофильдия краснеющая                     
Чемерица Лобеля                          
Чемерица черная                          
Зигаденус сибирский                      
Красоднев малый                          
Вороний глаз четырехлистный              
Ирис низкий                              
Ирис сглаженный                          
Ирис Потанина                            
Ирис кроваво-красный                     
Пололепестник зеленый                    
Ладьян трехнадрезанный                   
Башмачок известняковый, б.настоящий      
Башмачок капельный, б. пятнистый         
Башмачок крупноцветковый                 
Пальчатокоренник Фукса                   
Пальчатокоренник Мейера (гебридский)     
Дремлик зимовниковый                     
Дремлик болотный                         
Надбровник безлистный                    
Кокушник длиннорогий                     
Хаммарбия болотная                       
